Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
X by Bloom I Hebbal Manyata Park,Bangalore,6.0,Very good ,70,8.1,3,Deluxe Twin Room,2 single beds,Free cancellation,2100.0,252.0,prepayment
Clarion Hotel Bangalore,Bangalore,4.0,Very good ,79,8.0,2,Superior Double Room,1 double bed,Free cancellation,3376.0,405.0,No prepayment needed
SPOT ON Janapriya Lodge Near Hare Krishna Hill,Bangalore,2.0,Review score ,66,3.8,0,Executive Triple Room,1 double bed,Free cancellation,374.0,65.0,No prepayment needed
Sapphire stay,Bangalore,7.0,Review score ,230,6.2,2,Deluxe Single Room,1 single bed,Free cancellation,713.0,85.0,No prepayment needed
Crown Inn,Bangalore,4.0,Review score ,188,6.4,1,Budget Double Room,2 large double beds,Free cancellation,1199.0,144.0,prepayment
La Sara Gateway,Bangalore,2.0,Good ,73,7.9,0,Double or Twin Room,"3 beds (2 singles, 1 double)",Free cancellation,2200.0,264.0,No prepayment needed
Octave Himalaya Monarch,Bangalore,8.0,Good ,305,7.9,2,Deluxe Double Room,1 large double bed,Free cancellation,1350.0,162.0,No prepayment needed
Olive Kalyan Nagar - By Embassy Group,Bangalore,3.0,Good ,229,7.2,0,Standard Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,1620.0,194.0,No prepayment needed
Octave Plaza Hotel,Bangalore,2.0,Good ,206,7.6,0,Deluxe Double Room,1 large double bed,Free cancellation,1625.0,195.0,No prepayment needed
Olive Indiranagar Metro - by Embassy Group,Bangalore,8.0,Very good ,85,8.0,0,Executive Queen,1 large double bed,Free cancellation,2468.0,326.0,No prepayment needed
Royal Ace Boutique Hotel,Bangalore,2.0,Very good ,61,8.1,2,Executive Double or Twin Room,1 large double bed,Free cancellation,3160.0,379.0,No prepayment needed
Double bed Cabinhouse - Mahalaksmi Metro station,Bangalore,7.0,Exceptional ,1,10.0,0,One-Bedroom Apartment,1 single bed,Free cancellation,1176.0,141.0,No prepayment needed
Vivanta Bengaluru Residency Road,Bangalore,8.0,Very good ,946,8.0,3,Superior Double Room,1 double bed,Free cancellation,9000.0,1620.0,prepayment
The Little Blue Window Hostel,Bangalore,7.0,Very good ,249,8.4,2,Bed in 4-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Free cancellation,659.0,79.0,No prepayment needed
SAHARA Inn,Bangalore,5.0,Review score ,190,6.7,0,Budget Double Room,1 double bed,Free cancellation,1080.0,130.0,No prepayment needed
Flagship Hotel Sai Orchid,Bangalore,5.0,Review score ,25,4.6,0,Classic Triple Room,1 large double bed,Free cancellation,1119.0,146.0,No prepayment needed
Radha Hometel,Bangalore,1.0,Good ,103,7.1,1,Superior Room - 1,Double Bed,Free cancellation,4300.0,516.0,No prepayment needed
Octave Suites - Residency Rd,Bangalore,9.0,Good ,810,7.5,0,Deluxe Suite,Private suite1 extra-large double bed,Free cancellation,3300.0,396.0,No prepayment needed
SS CROWN inn,Bangalore,3.0,Good ,330,7.8,3,Deluxe Double Room with Balcony,1 extra-large double bed,Free cancellation,1700.0,204.0,No prepayment needed
The Lalit Ashok,Bangalore,8.0,Review score ,271,6.3,1,Twin Room with Pool View,2 single beds,Free cancellation,9500.0,1710.0,prepayment
Ashraya International Hotel,Bangalore,2.0,Review score ,104,6.2,0,Standard Double Room,2 single beds,Free cancellation,2430.0,292.0,No prepayment needed
ALPHA SUITES,Bangalore,7.0,Very good ,13,8.0,2,Deluxe Double Room with Balcony,1 large double bed,Not Free,3780.0,454.0,prepayment
MySpace Express GD Inn,Bangalore,8.0,Good ,153,7.3,0,Standard Double Room,1 large double bed,Free cancellation,1781.0,214.0,prepayment
Hotel Avora Tree By Rivido Kempegowda Airport Road,Bangalore,21.0,Good ,221,7.7,0,Standard King Room,1 double bed,Free cancellation,2500.0,300.0,prepayment
Springs Hotels and Spa,Bangalore,3.0,Review score ,124,6.5,3,Studio,1 large double bed,Free cancellation,3800.0,456.0,No prepayment needed
Super OYO Townhouse 258 Spruce Hotels Bellandur,Bangalore,1.0,Review score ,60,6.8,1,Budget Double Room,1 extra-large double bed,Free cancellation,2880.0,362.0,No prepayment needed
FabHotel Sanctuary Suites,Bangalore,7.0,Fabulous ,720,8.7,1,(Sanitised) Superior Double Room,1 double bed,Free cancellation,2060.0,247.0,prepayment
Octave Vels Grand Hotel,Bangalore,2.0,Very good ,107,8.0,2,Deluxe Double Room,1 large double bed,Free cancellation,1200.0,144.0,No prepayment needed
OYO The Purple Orchid Stay,Bangalore,4.0,Review score ,79,3.3,0,Classic Triple Room,1 double bed,Free cancellation,696.0,100.0,No prepayment needed
Smile Stay The Royal Comfort,Bangalore,1.0,No Review,0,0.0,0,Double Room,1 large double bed,Free cancellation,1115.0,134.0,No prepayment needed
Ocean Inn Hotels,Bangalore,1.0,Review score ,239,6.4,0,Deluxe Single Room,1 single bed,Free cancellation,1300.0,156.0,No prepayment needed
FabExpress Prakash Inn,Mumbai,2.4,Good ,420,7.3,1,Deluxe Room,1 double bed,Free cancellation,3020.0,362.0,prepayment
JW Marriott Mumbai Juhu,Mumbai,6.1,Very good ,1613,8.4,3,"Guest room, 1 King  ",1 extra-large double bed,Free cancellation,18000.0,3240.0,No prepayment needed
"Le Sutra Hotel, Khar, Mumbai",Mumbai,5.5,Very good ,206,8.3,0,Tamas Room,1 large double bed,Free cancellation,8600.0,1548.0,prepayment
Hotel Ariana Residency,Mumbai,7.4,Review score ,334,6.8,2,Deluxe Double Room,1 double bed,Free cancellation,5164.0,620.0,No prepayment needed
MAXX VALUE - HOTEL KOHINOOR CONTINENTAL,Mumbai,4.3,Review score ,39,6.8,0,Standard Double Room,1 large double bed,Free cancellation,8000.0,1440.0,prepayment
DIAMOND HOTEL,Mumbai,8.8,No Review,0,0.0,0,Standard Double Room,1 double bed,Free cancellation,3464.0,416.0,No prepayment needed
Hotel Sai Pritam,Mumbai,3.9,Fabulous ,46,8.6,3,Superior Suite,Private suite1 double bed,Free cancellation,2836.0,340.0,No prepayment needed
HOTEL NEW VERTIGO SUITES,Mumbai,0.5,No Review,0,0.0,0,Deluxe Double Room,1 single bed,Free cancellation,2204.0,265.0,No prepayment needed
Hotel Golden Inn,Mumbai,7.4,No Review,0,0.0,0,Double Room,1 double bed,Free cancellation,2968.0,356.0,No prepayment needed
Ganesh Residency Hotel Mumbai,Mumbai,9.4,No Review,0,0.0,1,Double Room,1 single bed,Free cancellation,2300.0,276.0,No prepayment needed
Hotel Girgoan Palace,Mumbai,14.7,Good ,3,7.3,0,Deluxe Double Room,1 large double bed,Not Free,2041.0,245.0,prepayment
La Hotel Metro near BKC,Mumbai,1.8,Good ,307,7.1,0,Superior Double Room,Beds: 1 double or 2 singles,Free cancellation,3420.0,410.0,prepayment
OYO Flagship Hotel Nithyanand,Mumbai,3.3,Review score ,1,2.0,0,Classic Triple Room,1 large double bed,Free cancellation,1834.0,236.0,No prepayment needed
Hotel Adore International - Near Mumbai Airport & Visa Consulate,Mumbai,2.4,Review score ,34,5.7,3,Deluxe Double Room,1 extra-large double bed,Free cancellation,1710.0,205.0,No prepayment needed
Hotel Bawa International,Mumbai,3.4,Good ,1042,7.3,2,Executive Room,"2 beds (1 double, 1 extra-large double)",Free cancellation,5500.0,660.0,No prepayment needed
ibis Mumbai Airport - An Accor Brand,Mumbai,3.4,Review score ,1373,6.5,3,Standard Twin Room,1 large double bed,Free cancellation,7500.0,900.0,No prepayment needed
Hotel Suba International,Mumbai,3.8,Very good ,816,8.4,2,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,4770.0,572.0,prepayment
HOTEL CITY VUE,Mumbai,11.9,Review score ,77,6.1,0,Single Room with Private Bathroom,1 single bed,Free cancellation,2280.0,274.0,No prepayment needed
Golden Star Premium Dormitory,Mumbai,3.8,Good ,61,7.6,1,Budget Double or Twin Room,14 bunk beds,Free cancellation,350.0,42.0,No prepayment needed
Peace International,Mumbai,3.8,Very good ,17,8.2,0,Double Room,1 double bed,Not Free,3644.0,437.0,prepayment
Arts International,Mumbai,4.5,Very good ,12,8.2,0,Double Room,1 large double bed,Free cancellation,2850.0,342.0,No prepayment needed
Ginger Mumbai Andheri (MIDC),Mumbai,5.9,Review score ,212,5.8,1,Standard Room,1 large double bed,Free cancellation,6000.0,720.0,prepayment
"Bentley Hotel, Marine Drive",Mumbai,16.4,Good ,203,7.9,1,Single Room,1 single bed,Free cancellation,4170.0,500.0,No prepayment needed
Hotel Eros - Near Mumbai International Airport T2,Mumbai,3.6,Good ,121,7.1,0,Budget Double Room,1 large double bed,Free cancellation,1450.0,174.0,No prepayment needed
Hotel Bawa Continental,Mumbai,5.9,Good ,884,7.8,1,Economy Single Room,1 single bed,Free cancellation,3500.0,420.0,prepayment
Hotel A Suites,Mumbai,2.8,Fabulous ,29,8.9,0,Single Room,1 single bed,Free cancellation,1799.0,216.0,No prepayment needed
Hotel Ruby,Mumbai,13.9,Review score ,128,4.4,1,Deluxe Double Room,1 single bed,Free cancellation,2296.0,413.0,No prepayment needed
Trident Nariman Point,Mumbai,17.6,Fabulous ,3852,8.8,1,Executive Room,1 extra-large double bed,Free cancellation,12750.0,2296.0,prepayment
"Ginger Mumbai, Andheri",Mumbai,5.3,Review score ,927,5.9,3,Superior Twin Room,2 single beds,Free cancellation,7500.0,900.0,prepayment
President - IHCL SeleQtions,Mumbai,19.0,Very good ,1626,8.2,3,Superior Room City View Queen Bed,1 large double bed,Free cancellation,8000.0,1440.0,prepayment
Country Inn & Suites By UMRB,Mumbai,7.4,Review score ,3,6.0,2,Deluxe Double Room with Balcony,1 extra-large double bed,Free cancellation,4350.0,522.0,No prepayment needed
Trident Bandra Kurla,Mumbai,1.5,Fabulous ,3605,8.8,1,Deluxe Room (King Bed),1 extra-large double bed,Free cancellation,12000.0,2160.0,prepayment
Zostel Mumbai,Mumbai,4.9,Good ,1172,7.8,2,Bed in 8-Bed Mixed Dormitory Room,Bed in dormitory1 bunk bed,Not Free,899.0,108.0,prepayment
Hotel Harbour View Colaba,Mumbai,18.1,Very good ,522,8.0,0,Deluxe Tranquil Sleep Room,1 double bed,Free cancellation,6400.0,768.0,prepayment
Hotel Broadway Colaba,Mumbai,17.8,Good ,167,7.0,0,Economy Single Room,1 single bed,Free cancellation,2970.0,356.0,No prepayment needed
Casa Cabin Stay Mumbai,Mumbai,3.0,Review score ,23,6.9,0,Budget Single Room,Multiple bed types,Not Free,647.0,78.0,prepayment
FabHotel Art Inn,Mumbai,4.7,Review score ,172,6.8,1,Deluxe Room,1 large double bed,Free cancellation,1600.0,192.0,prepayment
Comfort Inn Heritage,Mumbai,12.0,Good ,322,7.0,0,Standard Single Room,1 single bed,Free cancellation,4750.0,570.0,prepayment
"Treebo Trend Prince, Mumbai",Mumbai,3.4,Review score ,71,5.6,1,Standard Double Room,1 large double bed,Free cancellation,2640.0,317.0,No prepayment needed
Citizen Hotel,Mumbai,5.8,Good ,308,7.0,0,Executive Double or Twin Room,1 large double bed,Not Free,4250.0,510.0,prepayment
Shine Hospitality Group,Mumbai,3.9,Very good ,1,8.0,2,Large Single Room,1 single bed,Free cancellation,3128.0,376.0,No prepayment needed
Hotel airport annex,Mumbai,4.6,Review score ,166,6.3,0,Deluxe Double Room,1 double bed,Free cancellation,1699.0,204.0,No prepayment needed
Fairfield by Marriott Mumbai International Airport,Mumbai,2.6,Very good ,714,8.1,2,Standard Double or Queen Room with City View,1 double bed,Not Free,8070.0,1453.0,prepayment
Capital Hotel,Mumbai,15.9,No Review,0,0.0,0,Standard Single Room,1 single bed,Free cancellation,3334.0,400.0,No prepayment needed
THE BEST HOTEL MUMBAI,Mumbai,4.6,Good ,234,7.6,3,Single Room with Bathroom,1 single bed,Not Free,1752.0,210.0,prepayment
Bloom Hotel - Worli South Mumbai,Mumbai,11.1,Review score ,369,6.9,2,Standard Queen Room,1 double bed,Free cancellation,5220.0,626.0,No prepayment needed
Hotel Airlink,Mumbai,3.4,Good ,187,7.1,0,Standard Single Room,1 single bed,Free cancellation,4200.0,504.0,prepayment
Mango Marol Dormitory,Mumbai,3.4,Good ,176,7.6,0,Single Bed in Female Dormitory Room,Bed in dormitory1 sofa bed,Not Free,360.0,43.0,prepayment
"Holiday Inn Mumbai International Airport, an IHG Hotel",Mumbai,3.2,Good ,1577,7.8,3,Superior King Room - Non-Smoking,1 extra-large double bed,Not Free,7650.0,1377.0,prepayment
Sofitel Mumbai BKC,Mumbai,1.3,Very good ,2966,8.2,2,Luxury King Room,1 extra-large double bed,Free cancellation,9000.0,1620.0,No prepayment needed
The Roa Hotel,Mumbai,3.7,Review score ,160,6.7,0,Deluxe Double Room,1 double bed,Not Free,3734.0,448.0,prepayment
Aksa Cabin Stay,Mumbai,8.9,No Review,0,0.0,0,Single Room,1 single bed,Free cancellation,1199.0,144.0,No prepayment needed
Arnna Hotel- Goregaon East,Mumbai,9.1,Good ,135,7.9,2,Standard Double Room,1 large double bed,Free cancellation,4950.0,594.0,No prepayment needed
Hotel Flora Suites - Fort,Mumbai,16.7,Good ,380,7.0,0,Deluxe Room,1 double bed,Free cancellation,2880.0,345.0,prepayment
Hotel Larmont Luxury,Mumbai,6.3,Good ,26,7.2,0,Deluxe Room,1 double bed,Free cancellation,2720.0,326.0,prepayment
Novotel Mumbai International Airport,Mumbai,3.8,Very good ,432,8.4,3,Standard King Bed with 20% discount on Spa and Food & Soft Beverage at Restaurants only and 10% on Laundry,1 extra-large double bed,Free cancellation,11496.0,2070.0,No prepayment needed
Suba Galaxy,Mumbai,5.0,Very good ,393,8.0,2,"Deluxe Double or Twin Room - 10% off on Laundry, 10% off on F&B, Complimentary Drivers accommodation",Beds: 1 double or 2 singles,Free cancellation,4410.0,529.0,prepayment
Capital O 75709 Hotel Spring Residency,Mumbai,14.3,Review score ,13,6.2,0,Comfort Triple Room with Shower,2 large double beds,Free cancellation,2860.0,355.0,No prepayment needed
The Sahil Hotel,Mumbai,13.2,Good ,353,7.6,0,Deluxe Room King Bed,1 double bed,Free cancellation,7000.0,840.0,No prepayment needed
The Fern - Goregaon,Mumbai,9.9,Good ,307,7.5,2,Winter Green Room,1 extra-large double bed,Free cancellation,7500.0,900.0,prepayment
Bloom Boutique - Bandra,Mumbai,5.1,Very good ,263,8.3,0,Deluxe Queen Room,1 extra-large double bed,Free cancellation,7700.0,1386.0,prepayment
Hotel Plaza,Mumbai,2.9,Good ,42,7.5,0,Club Double or Twin Room,Beds: 1 double or 2 singles,Not Free,3784.0,454.0,prepayment
FabHotel Aksa International Andheri East,Mumbai,4.2,Review score ,779,6.8,1,Deluxe Double Room,1 large double bed,Free cancellation,2220.0,266.0,prepayment
Residency Hotel Fort,Mumbai,16.3,Very good ,1587,8.3,0,Standard Double Room,1 double bed,Free cancellation,7720.0,1390.0,No prepayment needed
Hotel Happyland,Mumbai,7.5,Review score ,195,3.9,0,Standard Double Room,1 large double bed,Free cancellation,2900.0,348.0,No prepayment needed
Apex Hotel,Mumbai,2.7,Review score ,60,4.7,0,Standard Double Room,1 large double bed,Free cancellation,1537.0,184.0,No prepayment needed
Treebo Trend Seven Olives,Mumbai,4.2,Review score ,38,6.7,1,Economy Double Room,Beds: 1 double or 2 singles,Free cancellation,2208.0,265.0,prepayment
"Click Hotel Caliph, Mumbai",Mumbai,5.3,Review score ,185,6.3,2,Deluxe Room King Bed with 10% off on F&B & Laundry,1 double bed,Free cancellation,3230.0,388.0,No prepayment needed
Hotel Pearl View - Near US Embassy BKC,Mumbai,2.6,Review score ,63,4.0,0,Single Room,1 single bed,Free cancellation,1800.0,216.0,prepayment
T24 Retro,Mumbai,3.4,Good ,164,7.5,2,Deluxe Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,4500.0,540.0,prepayment
ibis Mumbai Vikhroli - An Accor Brand,Mumbai,7.1,Good ,483,7.6,2,Standard Queen Room,1 large double bed,Free cancellation,7590.0,1366.0,No prepayment needed
Hotel Dalon,Mumbai,2.6,Review score ,80,5.1,0,Deluxe Double Room,1 single bed,Free cancellation,2000.0,240.0,No prepayment needed
"Hotel Royce Executive, Near US Consulate, Bandra Kurla Complex",Mumbai,0.4,Review score ,118,5.6,1,Superior King Room,1 double bed,Free cancellation,3214.0,386.0,prepayment
FabHotel West Inn,Mumbai,2.6,Review score ,71,6.2,1,Deluxe Room,1 double bed,Free cancellation,1650.0,198.0,prepayment
Ash’s abode,Mumbai,7.6,No Review,0,0.0,0,Family Room,1 double bed,Free cancellation,3264.0,392.0,No prepayment needed
Residency Sarovar Portico,Mumbai,11.5,Good ,489,7.0,3,Superior Room 1 Double Bed,1 large double bed,Free cancellation,5400.0,648.0,No prepayment needed
Hotel Beach Crown Juhu,Mumbai,5.6,Review score ,52,4.6,1,Deluxe Double Room,1 large double bed,Free cancellation,2112.0,253.0,No prepayment needed
KF Residency,Mumbai,1.5,Review score ,490,6.2,0,Standard Double Room,1 double bed,Free cancellation,1488.0,178.0,prepayment
Empire Royale Hotel,Mumbai,15.9,Review score ,29,5.6,0,Family Room,2 large double beds,Free cancellation,4230.0,0.0,No prepayment needed
"Hotel Palms Residency, Chembur Mumbai",Mumbai,3.6,Review score ,9,5.1,0,Deluxe Double Room,1 double bed,Free cancellation,2560.0,307.0,No prepayment needed
Hotel Airport International Mumbai,Mumbai,3.3,Review score ,513,6.7,2,Executive Single Room,1 single bed,Free cancellation,4000.0,480.0,No prepayment needed
"Ginger Mumbai, Goregaon",Mumbai,9.7,Review score ,196,6.7,0,Luxe Double Room,1 large double bed,Free cancellation,6500.0,780.0,prepayment
Hotel Arma Residency,Mumbai,3.6,Review score ,165,6.0,3,Standard Double Room,2 single beds,Free cancellation,1680.0,202.0,No prepayment needed
Hotel Embassy Park - BKC Mumbai,Mumbai,0.9,Good ,314,7.1,0,Single Room,1 single bed,Free cancellation,2700.0,324.0,prepayment
Swapna International,Mumbai,14.1,No Review,0,0.0,2,Double Room,1 double bed,Free cancellation,2790.0,335.0,No prepayment needed
Hotel Bandra Residency,Mumbai,4.6,Review score ,2,1.5,0,Deluxe Double Room,1 double bed,Free cancellation,4120.0,494.0,No prepayment needed
Hotel K.C Residency,Mumbai,3.6,Review score ,238,5.6,0,Budget Double Room,1 single bed,Free cancellation,1599.0,192.0,No prepayment needed
The Leela Mumbai,Mumbai,3.7,Very good ,2985,8.5,1,Premier City View Room with 1+1 Happy hours are from 5pm to 7pm at 6 degrees on selected brands,1 extra-large double bed,Free cancellation,13500.0,2430.0,No prepayment needed
Hotel Classio Andheri,Mumbai,7.8,Good ,6,7.7,0,Deluxe Double Room,1 large double bed,Free cancellation,3240.0,389.0,No prepayment needed
Hotel Parle International,Mumbai,4.4,Review score ,149,6.1,1,Deluxe Double or Twin Room,2 single beds,Free cancellation,4680.0,562.0,prepayment
"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Mumbai,9.6,Fabulous ,1750,8.6,3,Executive Club,1 large double bed,Free cancellation,11500.0,2070.0,No prepayment needed
"ITC Maratha, a Luxury Collection Hotel, Mumbai",Mumbai,3.2,Very good ,3102,8.2,3,Executive Club,1 extra-large double bed,Free cancellation,13500.0,2430.0,No prepayment needed
PANCHVATI RESIDENCY ANDHERI WEST,Mumbai,7.5,Good ,43,7.2,1,Deluxe Double Room,1 double bed,Free cancellation,3300.0,396.0,No prepayment needed
"Hotel Causeway, Colaba",Mumbai,17.7,Good ,282,7.2,0,Deluxe Single Room,1 single bed,Free cancellation,3400.0,408.0,No prepayment needed
HOTEL GOLDEN TULIPZ,Mumbai,4.7,Review score ,1,1.0,0,Standard Double or Twin Room,1 double bed,Free cancellation,2700.0,324.0,No prepayment needed
Four Seasons Hotel Mumbai,Mumbai,10.9,Very good ,2136,8.5,2,Superior King Room,1 extra-large double bed,Free cancellation,13000.0,2340.0,No prepayment needed
FabHotel Royal Mumbai International Airport,Mumbai,5.4,Good ,10,7.3,3,Deluxe Room,1 double bed,Free cancellation,1954.0,234.0,prepayment
The Lalit Mumbai-Airport,Mumbai,3.2,Review score ,159,6.9,2,"Lalit Deluxe Room, King/ Twin Bed with Bathtub",Multiple bed types,Not Free,10700.0,1926.0,prepayment
Hotel Suba Palace,Mumbai,17.5,Very good ,461,8.2,2,Deluxe Double or Twin Room 10% off on Food and Soft Beverage and Laundry per stay.,Beds: 1 double or 2 singles,Free cancellation,8100.0,1458.0,prepayment
Hotel Shabana - Colaba Causeway,Mumbai,17.6,Review score ,253,6.2,0,Twin Room with Shared Bathroom,2 single beds,Free cancellation,5428.0,651.0,No prepayment needed
City Guest House - Dadar,Mumbai,7.6,Review score ,191,6.2,1,Standard Double Room,1 large double bed,Not Free,3036.0,364.0,prepayment
Grand Oliver,Chennai,0.05,Review score ,727,6.2,0,Deluxe Room,1 double bed,Free cancellation,1550.0,186.0,No prepayment needed
Greens Suite - Business Class Hotel - Opposite Ripon Building,Chennai,0.1,Very good ,185,8.4,3,Deluxe Double Room,1 double bed,Free cancellation,2300.0,276.0,No prepayment needed
Hotel White Mount,Chennai,0.1,Review score ,65,5.8,0,Economy Twin Room,2 single beds,Free cancellation,1118.0,134.0,No prepayment needed
SPOT ON Central Inn,Chennai,0.1,Review score ,89,2.4,0,Standard Double Room with Fan,1 large double bed,Free cancellation,709.0,101.0,No prepayment needed
The Hydel Park - Business Class Hotel - Near Central Railway Station,Chennai,0.1,Very good ,464,8.2,2,Deluxe Double Room,1 double bed,Free cancellation,2300.0,276.0,No prepayment needed
CENTRAL GATE,Chennai,0.1,Review score ,16,5.4,0,Budget Double Room,1 single bed,Free cancellation,810.0,97.0,No prepayment needed
GRAND ELEGANT,Chennai,0.1,Review score ,56,6.8,0,Deluxe Double Room,1 extra-large double bed,Free cancellation,2025.0,243.0,No prepayment needed
Central Mina Residency- only for Indians,Chennai,0.1,Review score ,37,5.1,0,Superior Queen Room with Two Queen Beds - Indian nationals only ,2 single beds,Free cancellation,700.0,84.0,No prepayment needed
4U Business Hotel,Chennai,0.1,Review score ,5,4.2,3,Deluxe Double Room,1 double bed,Free cancellation,2300.0,276.0,No prepayment needed
Grand Cascade Chennai,Chennai,0.1,Review score ,62,5.5,3,Standard Double Room,1 single bed,Free cancellation,2320.0,278.0,No prepayment needed
SKM REGENCY,Chennai,0.1,Good ,168,7.8,0,Deluxe Twin Room,2 single beds,Free cancellation,1925.0,231.0,No prepayment needed
THE PARK AVENUE HOTEL - Business Class Hotel Near Central Railway Station Chennai Periyamet,Chennai,0.1,Good ,12,7.4,1,Deluxe Single Room,1 single bed,Not Free,1260.0,151.0,prepayment
Hotel Zidan,Chennai,0.15,Review score ,68,6.5,0,Deluxe Room,1 double bed,Free cancellation,1200.0,144.0,No prepayment needed
Sheraton Grande Hotel - Business Class Hotel - Near Central Railway Station,Chennai,0.15,Fabulous ,148,8.7,0,Large Double Room,1 large double bed,Free cancellation,2300.0,276.0,No prepayment needed
Stay Court - Business Class Hotel - Near Central Railway Station,Chennai,0.15,Fabulous ,172,8.7,0,Deluxe Single Room,1 single bed,Free cancellation,1400.0,168.0,No prepayment needed
Hotel White Park,Chennai,0.2,Review score ,102,6.3,0,Deluxe Double or Twin Room,2 single beds,Free cancellation,1440.0,173.0,No prepayment needed
OYO Elite Residency,Chennai,0.2,Review score ,84,2.1,3,Standard Double Room,2 large double beds,Free cancellation,709.0,97.0,No prepayment needed
OYO Flagship 79152 Golden Cafe,Chennai,0.2,Review score ,9,2.7,0,Classic Triple Room,1 large double bed,Free cancellation,974.0,141.0,No prepayment needed
Hotel Park Tower,Chennai,0.2,Review score ,123,4.7,0,Deluxe Room,1 large double bed,Free cancellation,1200.0,144.0,No prepayment needed
Aum Karthikeya Residency,Chennai,0.2,Review score ,39,4.8,0,Economy Single Room,1 single bed,Free cancellation,549.0,66.0,No prepayment needed
Liza Regency,Chennai,0.2,Review score ,79,6.8,0,Standard Room,1 double bed,Free cancellation,1890.0,227.0,prepayment
Grand tower Chennai,Chennai,0.2,Good ,87,7.3,3,Deluxe Double Room,1 double bed,Free cancellation,1283.0,154.0,No prepayment needed
JS Grand Residency - Formerly as Emarald,Chennai,0.3,Good ,82,7.1,0,Standard Double Room,1 large double bed,Free cancellation,2400.0,288.0,No prepayment needed
Central Saphire Residency-only for Indians,Chennai,0.3,Review score ,98,4.2,0,Budget Single Room,1 single bed,Free cancellation,450.0,54.0,No prepayment needed
Central Afia Residency-only for Indians,Chennai,0.3,Review score ,50,4.9,0,Deluxe Double Room - Indian nationals only,2 single beds,Free cancellation,600.0,72.0,No prepayment needed
OYO SUN PARK INN Chennai Central,Chennai,0.3,Review score ,53,6.9,0,Deluxe Double Room,1 large double bed,Free cancellation,1107.0,149.0,No prepayment needed
Hotel Sunpark Inn,Chennai,0.3,Good ,17,7.3,2,Single Room,1 single bed,Free cancellation,1013.0,121.0,No prepayment needed
Townhouse 430 Everest Hotel Near Chennai Central,Chennai,0.35,Review score ,24,3.4,0,Classic Triple Room,1 extra-large double bed,Free cancellation,1521.0,191.0,No prepayment needed
Delmon Residency,Chennai,0.35,Review score ,30,5.9,3,Double Room,"4 beds (1 single, 1 double, 2 large doubles)",Not Free,1170.0,140.0,prepayment
Hotel Metro Manor,Chennai,0.35,Review score ,97,5.3,2,Standard Double or Twin Room,Beds: 1 double or 2 singles,Free cancellation,1500.0,180.0,prepayment
Skb Hotel Grand Days - Fully Vaccinated Staff,Chennai,0.35,Good ,323,7.3,0,Deluxe Double Room (2 Adults + 1 Child) non AC,1 extra-large double bed,Free cancellation,2025.0,243.0,No prepayment needed
Hotel Joyce,Chennai,0.35,Review score ,242,4.9,0,Budget Single Room,1 single bed,Free cancellation,618.0,74.0,prepayment
Hotel Greens - Near Central Railway Station,Chennai,0.4,Very good ,153,8.3,2,Standard Double Room,1 large double bed,Free cancellation,1300.0,156.0,No prepayment needed
Royal Regency Lifotel by Crossway,Chennai,0.5,Review score ,6,4.7,2,Standard Double or Twin Room,1 large double bed,Free cancellation,3000.0,360.0,No prepayment needed
Sai Residency,Chennai,0.5,Review score ,1,1.0,0,Double Room,2 single beds,Free cancellation,960.0,115.0,No prepayment needed
Treebo Trend Green City Chennai Central Railway Station,Chennai,0.5,Good ,20,7.0,1,Standard Double Room,1 large double bed,Free cancellation,2588.0,310.0,No prepayment needed
Horizon Inn,Chennai,0.5,Review score ,277,6.0,1,Economy Double Room,1 extra-large double bed,Free cancellation,972.0,117.0,prepayment
SAROVAR INN,Chennai,0.6,Review score ,283,5.8,0,Standard Single Room,1 single bed,Free cancellation,850.0,102.0,No prepayment needed
"Hotel City Tower, Chennai Central",Chennai,0.6,Good ,5,7.0,0,Standard Double Room with Fan,1 extra-large double bed,Free cancellation,2400.0,288.0,No prepayment needed
City Home,Chennai,0.7,Review score ,70,6.9,0,Deluxe Single Room,1 single bed,Free cancellation,1500.0,180.0,No prepayment needed
Bhimas Inn - Near Central Railway Station,Chennai,0.8,Very good ,210,8.5,3,Standard Double Room,1 double bed,Free cancellation,1080.0,130.0,No prepayment needed
Ramada Chennai Egmore,Chennai,0.9,Review score ,48,6.1,3,Executive King Non-Smoking Room - Book & Unlock Exclusive Deals,1 double bed,Not Free,5050.0,606.0,prepayment
Fortel,Chennai,0.9,Review score ,105,6.4,0,Twin Room,2 single beds,Not Free,4036.0,484.0,prepayment
Hotel Victoria,Chennai,1.1,Review score ,54,6.1,2,Executive Double Room,Beds: 1 double or 2 singles,Free cancellation,4700.0,564.0,No prepayment needed
Hotel Pandian,Chennai,1.2,Review score ,306,5.5,0,Standard Single Room with Fan,1 single bed,Free cancellation,1683.0,236.0,prepayment
OYO The Park View Inn,Chennai,1.2,Review score ,66,2.4,0,Standard Double Room,2 large double beds,Free cancellation,693.0,99.0,No prepayment needed
