Hotel Name,City,Distance from Centre (in km),Review (in words),Number of Reviews,Rating (out of 10),Level of sustainability,Type of Room,Type of Bed,Type of Cancellation,Cost,Taxes and charges,Type of Payment
Treebo Trend Atithi Regency,Pune,9.2,Good ,22,7.5,0,Economy Double Room,1 extra-large double bed,Free cancellation,1845.0,221.0,No prepayment needed
Royal Nest Premium-AS,Pune,8.8,Exceptional ,8,9.8,3,Economy Double Room,1 large double bed,Free cancellation,1296.0,156.0,No prepayment needed
Hotel DORTN,Pune,5.3,Very good ,98,8.1,2,Deluxe Double Room with Balcony,1 large double bed,Free cancellation,1787.0,214.0,No prepayment needed
Four Points by Sheraton Hotel and Serviced Apartments Pune,Pune,8.3,Good ,1439,7.4,2,Executive Studio with Kitchenette ,Entire apartment • 1 bedroom • 1 bathroom • 36m²2 single beds,Free cancellation,6500.0,780.0,No prepayment needed
Treebo Trend Tulip Comfort,Pune,1.7,Fabulous ,435,8.9,1,Standard Double Room,1 large double bed,Free cancellation,1649.0,198.0,prepayment
Magnus Vosiv Suites,Pune,5.5,Review score ,128,6.4,3,Double Room,1 large double bed,Not Free,2210.0,265.0,prepayment
Treebo Trend White House,Pune,1.1,Good ,41,7.7,1,Economy Double Room,1 extra-large double bed,Free cancellation,1547.0,186.0,prepayment
"Hostel Lifespace- Garden Bungalow with Pods, CoWork & Cafe",Pune,5.6,Superb ,110,9.1,3,Bunk Bed in Mixed Dormitory Room,Bed in dormitory1 bunk bed,Not Free,810.0,97.0,prepayment
Collection O Safron Inn,Pune,2.5,Review score ,35,5.1,3,Classic Triple Room,1 extra-large double bed,Free cancellation,1353.0,174.0,No prepayment needed
Townhouse OAK Kalpataru Inn At Kala Sagar,Pune,11.0,Good ,19,7.1,0,Comfort Triple Room with Shower,2 large double beds,Free cancellation,1853.0,238.0,No prepayment needed
Treebo Trend Naunidh Suites,Pune,8.9,Good ,246,7.3,0,[Sanitized] Deluxe Double Room,1 large double bed,Free cancellation,1659.0,199.0,No prepayment needed
OYO Flagship 81482B Happy Homely Stay,Pune,9.5,Review score ,5,3.4,0,Standard Double Room,1 large double bed,Free cancellation,877.0,121.0,prepayment
Treebo Trend Chetan Executive Hadapsar Phursungi,Pune,1.1,Review score ,65,6.9,0,Standard Double Room,1 large double bed,Free cancellation,1690.0,203.0,No prepayment needed
Ornate Ranveer Studio,Pune,9.7,No Review,0,0.0,0,Budget Double Room,1 large double bed,Free cancellation,1619.0,194.0,No prepayment needed
Elite stays,Pune,8.6,Review score ,26,6.9,3,Triple Room,3 single beds,Free cancellation,660.0,79.0,No prepayment needed
City Air,Pune,9.0,Review score ,73,5.8,2,Standard Double Room with Fan,1 large double bed,Free cancellation,1330.0,160.0,No prepayment needed
The Paradise Aundh,Pune,7.3,Good ,106,7.4,0,Deluxe Double or Twin Room(India National Only),2 single beds,Free cancellation,2068.0,248.0,No prepayment needed
Treebo Trend Madhav International,Pune,2.2,Review score ,118,6.9,0,Standard Double Room,Beds: 1 double or 2 singles,Free cancellation,2644.0,317.0,No prepayment needed
Hilton Garden Inn Pune Hinjawadi,Pune,4.4,Good ,375,7.6,3,King Room,1 extra-large double bed,Not Free,8076.0,1454.0,prepayment
Bloom Hotel - Magarpatta,Pune,7.9,Very good ,58,8.2,0,Standard Queen Room,1 double bed,Not Free,2916.0,350.0,prepayment
The Prime ORCHARD Hotel,Pune,1.3,Review score ,10,5.7,1,Budget Double Room,1 large double bed,Free cancellation,1840.0,221.0,No prepayment needed
ibis Pune Hinjewadi - An Accor Brand,Pune,8.1,Good ,1354,7.7,3,Standard Queen Room,1 double bed,Free cancellation,3148.0,378.0,No prepayment needed
FabHotel Silver 7,Pune,7.8,Very good ,10,8.3,1,Deluxe Room,1 double bed,Free cancellation,1320.0,158.0,prepayment
Super OYO Flagship River View Near Shaniwar Wada,Pune,1.4,Review score ,89,6.1,1,Deluxe Double Room,1 extra-large double bed,Free cancellation,1336.0,172.0,No prepayment needed
